text	emotion
지금의 상황이 꼭 벌 받는 것 같아.	당황
오늘 친구가 나에 대한 거짓말을 해서 선생님에게 불려갔어.	슬픔
난 학점이 좋아서 취직이 잘 될 것 같아.	기쁨
당신이 Revel을 좋아하고 구독하고 싶다면 :	중립
나는 학교 폭력을 당했어. 그런데 그것보다 더 억울한 건 당한 내가 학교를 옮겼다는 거야.	슬픔
나는 오전 11시에 회의를하고 오늘 오후 1 시부 터 오후 2 시까 지 수업이 있으므로 시간 프레임 내에서 전화하거나 이메일을 보내면 잠시 응답하지 않으면 그 이유입니다.	중립
1 분이되면 날 보러 오시겠습니까?	중립
Ahhh ... 곧 전화 @ben_wiggin 02:01 AM -26 Jun 14	중립
직장 동료들한테 너무 화가 나.	상처
최신 거래를 받으려면 Deals@motovy.com을 주소록에 추가하십시오.	중립
지금 있는 남편 빚을 빨리 갚고 좀 후련하게 살고 싶어.	분노
어제 뉴스에 매우 화나는 내용 나온 거 있지.	당황
퇴직이 코앞인데 모아둔 돈도 없고 내 자신이 증오스러워.	분노
오늘 너무 화가 나는 일을 당했어. 산재를 신청했는데 받아주지를 않는 상황이야.	분노
내가 쇼핑 목록으로 보낼 수 있으면 좋겠다 !!	중립
- 원하는대로 웹 페이지에 주석을 달고 수정하십시오	중립
올바른 이메일 주소가 있는지 확인하고 싶었습니다.	중립
푹 쉬고 싶다.	분노
Kokcard에서 만든 경우 $ 링크를 참조하십시오	중립
또한 비공개 개인 정보를 보호하기 위해 적용 가능한 법률 및 규정을 준수하여 합리적인 물리적, 전자 및 절차 보호를 유지합니다.	중립
로그인하고 결제 정보를 작성하면 전체 서비스가 활성화됩니다!	중립
친구가 더 늙기 전에 건강을 생각해서 등산을 다니자는데 거절하기가 조심스러워.	불안
지적장애가 있는 친구가 있는데 괴롭힘을 당해. 내가 나서서 도와줘야 할까?	불안
명절만 되면 큰 집에 가기가 두려워요.	상처
이것을 막고 싶다면 다음 달에 역사적으로 로그인하거나 역사적으로 무언가를 역사하십시오.	중립
취업하지 못할까 봐 초조해.	분노
아파서 화장실을 몇 번 다녀왔는데 상사가 자리도 지키지 않는다며 핀잔을 주었어.	상처
올해 연봉이 또 동결이야.	분노
주변 친구들이 남자친구한테 받은 선물들을 자랑할 때면 나도 그러고 싶지 않지만 괜히 질투가 나.	상처
"그렇다면 Linda, 나에게 밤새 ""공식 버전""을 편지의 ""공식 버전""으로 만들 수 있습니까?"	중립
아들이 사고를 당했다는 소식을 들었어 너무 초조해.	불안
건강이 좋지 않아서 뭔가 실천하기에 너무 힘들어.	불안
상원 법안에 대해 무엇을 바꾸겠습니까?	중립
나는 건강 문제로만 생각했는데 검진 결과가 공황 장애라니 인정이 안 되네.	분노
난 정말 실패한 인생이야.	상처
물론, 이번 주에는 부활절이 무엇인지 아이들과 토론하기에 좋은시기입니다.	중립
내 동생이 비행청소년이라고 신고가 들어왔어.	상처
입사시험을 보고 왔는데 무섭고 걱정 돼. 저번에도 시험 보고 떨어졌던 회사거든.	불안
"오늘 밤은 ""Frasier""의 시즌 프리미어라는 것을 잊지 마십시오."	중립
수능이 얼마 안 남았는데 엄마가 성적 안 오른다고 잔소리를 해서 힘들어.	상처
Tim : 저는이 컨퍼런스를 최선으로 만들기 위해이 사람들과 열심히 노력했지만 그곳에는 없었습니다.	중립
시어머니가 돌아가셨어.	당황
마음대로 다닐 수 없어서 답답해.	당황
그런 다음 일요일에 나는 무언가를했고 이제 컴퓨터에 창을로드 할 수 없습니다.	중립
어제 친구랑 화해했어.	기쁨
회사에 들어가니 너무 잘난 사람들이 많아서 그런지 내 학력에 대해 너무 창피해서 속상해.	불안
이번 시험 점수가 잘 나와서 만족해.	기쁨
나 때문에 같이 살고 있는 친구가 괴로워하는 것 같아.	당황
우리는 어떻게 개선 할 수 있는지에 대한 아이디어에 크게 감사드립니다.	중립
동료들에게 가끔씩 멍청하거나 차기를주고 싶을 수도 있습니다.	중립
명절 때마다 친척들이 결혼이야기를 해서 너무 괴로워.	분노
기독교인으로서의 나의 말은 당신이 나에게 교회를 향해 기부 할 580 만 달러를 활용하는 것입니다. 그리고 당신이 저를 허락한다면 나는 다른 교회를 염두에두고 있습니다.	중립
2001 년 1 월 29 일 월요일 월요일의 긍정적 인 살아있는 팁 당신의 환경 당신은 당신의 인생에서 과도한 스트레스를주는 환경에서 살거나 일합니까?	중립
혹시 퇴직 후 유용할 수 있는 자금이 얼마인지 궁금해서 퇴직금 중간정산을 해봤는데 진짜 슬프더군.	슬픔
대학을 위해서 집에서 혼자 있으니까 좀 그래.	상처
신규상품 홍보를 위해 나보고 길거리 전단지 배포 업무를 하래.	상처
오늘도 학교에서 밥 혼자 먹어야 하는데 걱정이야.	상처
병상에 있는 남편을 돌보느라 일도 그만두고 간호를 하게 되니 너무 슬퍼.	슬픔
오늘 저녁에 돌려 줄게.	중립
지인이 내 아내가 병원에서 받아오는 영양제가 효과가 좋은 거 같다고 나눠달라고 해서 환멸 나.	슬픔
의사에게 검사 결과를 들어보면 매번 정상이라고 하는데 나는 도저히 못 믿겠어.	불안
아들이 아픈 나를 위해 수술비를 마련하겠다고 친구에게 사기를 쳤어. 참 한심해.	당황
인디애나-Donnell Harvey, 6-8, Fr.	중립
큰 딸을 시집보내는데 변변한 예단 없이 보내서 딸에게 미안해.	상처
계약 그룹과 협력하여 거래를 위해 올바른 계약을 체결해야합니다.	중립
내 남자친구는 너무 배려심이 없어.	분노
타임 라인, 인력 책임 및 주요 행동 항목의 일부로 전체 프로세스 체인을 논의하고 싶습니다.	중립
이 서비스를 사용하려면 Greendot.com에서 온라인으로 카드와 휴대 전화 번호를 등록하십시오.	중립
나는 수요일과 목요일에 점심을 먹기 위해 문을 열었습니다.	중립
나는 당신이 연결에 충분히 친절하다는 것을 알고 있습니다. Heffner 씨가 그들을받는 지 알아볼 수 있을지 궁금합니다.	중립
건강 검진 후에 폐암이라는 진단을 받았는데 아이들에게 미안해서 어떡하나.	분노
짧은 보너스 설문지는 완료하는 데 2 분 미만이 걸립니다.	중립
Null은 이제 플레이 할 수 있습니다!	중립
벌어 놓은 돈도 없는데 자식들한테도 손 벌리기 미안하고. 힘에 부친다.	슬픔
컨설팅 회사로부터 우리와 파트너 관계를 맺기 위해 무거운 합계를 얻는 플레이가있을 수 있습니다. 우리는 우리의 위험 지식을 부여하고, 시장에서 우리와 짝을 이루지 못하고, 우리는 선불 결제를하고, 대부분의 일을합니다.그라인딩 작업 - 반드시 나쁜 모델은 아닙니다.	중립
최신 버전의 액세스를 얻는 데 문제가있었습니다.	중립
Target에서 최대 30% 할인!제안은 7/12에 종료됩니다.	중립
나는 금요일에 하루 종일 대화를 논의하는 메모를 쓰려고 노력할 것입니다.	중립
학교에 왜 다니는지 알수가 없어.	슬픔
이번에 우리 팀에서 직원 한 명을 감원하기로 했는데 은근히 내가 될까 봐 걱정을 많이 하고 있어.	기쁨
이번에 남자 동기들이 모두 승진했는데 나만 못했어.	분노
친구가 알바를 못 간다 해서 대신 가주었는데 나한테 화를 내. 너무 화가 나.	분노
직위를 남용해서 직원들을 제멋대로 부려먹는 상사를 보고 있자니 구역질이 나.	분노
요즘 우리 애가 말썽을 피워서 골치가 아파 죽겠어.	불안
돈도 없고 일자리도 없어서 바깥 활동을 하지 않아서 주변에 사람도 점점 사라지고 있어.	당황
예를 들어, 모든 XYZ 회사 구매는 함께 표시됩니다 (아래 샘플 참조).	중립
어떻게 진행되는지 알려주세요!	중립
엘던, 당신과 밥이 이번 주에 올라갈 계획입니까?	중립
엄마가 성적으로 형이랑 계속 비교해서 스트레스가 이만저만이 아니야.	불안
나는 이미 Dawn에게 말했다. 그러나 내 동생은 16 일에 결혼하고있다.	중립
내가 노후준비를 아직 못하고 있어.	분노
부모님이 내 성적에 대해 너무 많은 기대를 하고 있어서 부담스러워.	불안
아내와 이혼하게 될 것 같아. 두려워.	당황
가끔씩 내게 조언을 구하러 찾아오는 간호사가 있는데 얼마나 기쁜지 몰라.	기쁨
Mark Taylor는 유럽 회의에 제안 된 주제 목록을 보낼 것입니다.	중립
석사 마지막 학기인데 결혼생활이랑 학업이랑 병행하다 보니 책임감이 너무 과중해.	당황
실업자가 되어서 정말 자녀들에게 미안하다.	당황
예상했던 것보다 너무 이르게 은퇴를 권유 받았어.	슬픔
그 날짜를 사용할 수 있습니까?	중립
나는 생각을했고, 당신이 $에 관해 우리 집 주변의 모든 결정을 내리는 느낌이 든다는 것을 알고 있습니다.	중립
Ben, Dave Duran과 논의하십시오 - 그는 우리의 석탄 세대 전략에 대한 책임이 있습니다.	중립
각 분야에 대한 평가 및 서면 토론은 NWNG 직원과의 기록, 문서 및 토론의 이용 가능성을 기반으로합니다.	중립
우리는 그가 다음 주에 그가 마을에 올 때 논의 할 것입니다.	중립
결혼할 수 있을지 모르겠다.	슬픔
내가 퇴직하면서 받은 퇴직금이 있어. 그런데 남편은 나와 상의도 없이 내 퇴직금으로 땅을 사려고 했어.	당황
내가 학원에 다니고 싶은 부모님이 도움을 주지 않아. 어차피 지난번과 같을 거라고 하셔.	당황
결혼은 꼭 해야 하는 것일까?	불안
우리가 월요일에 만나고 있는지 아십니까?	중립
시험 후에 친구들과 답을 맞춰보는 게 너무 창피해. 혹시라도 내 점수가 안 좋게 나왔으면 어쩌지?	당황
채팅하고 싶은 친구가 필요합니다 !!!	중립
수학여행이 고민돼. 다리가 불편해서 휠체어를 타는 데 불편하기도 하고 흥미도 없어.	불안
우리 가족은 가족이 아닌것 같아. 매일 다투고 서로 미워하고 이것이 무슨 가족이야.	슬픔
당신이 우리를 허용한다면, 우리는 Kmlemanski에게 귀하의 사용자 이름을 알리도록하겠습니다.	중립
직장에 친한 동료 하나 없으니 외로워.	당황
당신을 만나고 싶은 사람을보십시오.	중립
회사 업무가 너무 많아서 약속을 모두 취소했어.	슬픔
내가 저번에 친구를 험담한 것 때문에 다른 친구들이 나를 따돌려.	당황
계획적인 지출 없이 돈을 마구 쓰다가 바닥이 났어. 불안해.	불안
내가 지각한 탓에 팀 프로젝트를 망쳐 버렸어.	당황
Codnapper와 그의 동료 팀은 의심 할 여지가없는 팬들을 그들의 & ldquo; do & rdquo;목록과 일상적인 집안일로 Call of Duty : Ghosts에 사용할 수있는 최초의 다운로드 가능한 컨텐츠 팩 인 Alslaught로 알려진 오아시스에 전달합니다.	중립
딸이 내 건강은 챙기지도 않으면서 자기 남자친구가 감기 걸렸다고 걱정하네. 너무 서운해.	분노
금요일 아침에 전화하겠습니다.	중립
이 마케팅 파트너가 연락하지 않으려면 아래 링크를 따르십시오.	중립
휴가 중에 Enron의 구인 제안에 대해 궁금한 점이 있으면 전화주세요.	중립
노후 대비도 못 하고 자식들 뒷바라지만 했는데 알아주지도 않네. 속상하다.	분노
나의 학업성취 때문에 아빠와 새엄마가 매일 싸우셔. 너무 슬퍼.	슬픔
그것을 재현 할 수 있습니까?	중립
가족들이 또 나만 두고 외식하러 갔어. 전동휠체어 탄내가 창피하고 불편하대.	당황
내일 월요일인데 업무가 많아서 두려워.	불안
나의 무지 때문에 동호회 재정에 지출을 키워서 죄책감이 들어.	당황
인터넷 세상은 우리의 삶을 송두리째 바꿔놓은것 같지 않은가?	불안
몇 년 동안 공무원 시험을 계속 봤는데 올해도 떨어질 것 같아.	분노
나 우리 부부가 아주 불쌍해.	슬픔
신혼은 다들 행복하지 않아?	슬픔
내가 이번에 재혼을 할까 하는데 딸이 회의적인 거 같아서 걱정이야.	불안
ID 및 비밀번호는 아래 이메일을 참조하십시오.	중립
도움이 필요하거나 저희에게 연락 해야하는 경우	중립
열심히 공부를 했는데도 성적이 안올라. 이러다가 내가 하고 싶은 일을 할 수 없을것 같아서 너무 괴로워.	슬픔
어젯밤 바이크를 타다가 사고가 났는데 부상상태를 들으니 꽤 심각하더군.	불안
나의 미래에 대해서 너무 느긋한 것이 문제일까?	기쁨
어디에선가 자꾸 환청이 들려 너무 괴로워.	불안
Cal이 시스템에서 PCB의 관리 및 처리에 청구 된 송장 및 청구에 대해 논의했습니다.	중립
공부에 대한 압박 때문에 우울증이 더욱 심해져.	상처
체육 수행평가가 곧인데 무릎이 아파서 큰일이야.	불안
그렇습니다. 재무를위한 것이지만, 우리는 우리가 얻을 수있는 모든 도움을 사용할 수 있습니다.	중립
Mick은 방법론이 확립되어 1/2000 전진에 동의함에 따라 운송에 대한 다른 뛰어난 문제가 있다고 생각하지 않습니다.	중립
내가 가족을 앞으로도 잘 이끌 수 있을지 모르겠어. 능력도 없고 내가 싫어.	분노
시간을 내 주셔서 감사합니다. 여러분의 의견을 기다리겠습니다.	중립
나는 연애에 취약한 것 같아. 이십 년간 한 번도 못 해봤어.	불안
They'll send me the data if we need it.	중립
그들이 누구인지, 어디에 살고 있는지, 그리고 성 포식자로부터 가족을 보호 할 수있는 방법을 알고 싶다면 여기를 클릭하십시오.	중립
Duke Energy는 Nisource, Inc.	중립
내가 대장암 초기란다. 전부터 안 좋다고 관리하라고 당부하긴 했는데.	상처
추가 도움이 필요한 경우 Apple Support를 방문하십시오.	중립
Mesut Özil은 자신이 현장에서 정확히 무엇을하는지 확인하기 위해 101% 농도로 시청 해야하는 선수입니다.	중립
곧 다시 여러분과 함께 있기를 기대합니다!	중립
이메일 주소와 비밀번호를 사용하여 정책에 로그인하여 전체 지불 일정 및 최근 정책 변경을 검토하십시오.	중립
요즘 학교 담임선생님 크게 혼이 났는데 죄책감이 들 정도야.	당황
이 형식을 사용하면 정보를보다 쉽게 전송할 수 있습니다.	중립
친구들이 나만 빼고 놀러 다녀서 너무 속상해 내가 싫어진 걸까?	당황
산에 갔다 왔는데 숨이 차고 가슴 통증이 있어.	당황
우리는 추가하고 싶은 새로운 기능의 대략적인 로드맵을 가지고 있지만 도움이 필요합니다.	중립
대학교도 못 가는데 고등학교를 졸업하면 앞으로 뭘 해야 할까?	슬픔
방법을 알아 보려면 publics@davidco.com으로 이메일을 보내주십시오.	중립
미래의 모든 이메일에 내 이름을 포함시겠습니까?	중립
팀장님이 커피는 여자 직원이 타야 한다고 말하더라. 팀장님의 그런 사고방식이 역겨워.	당황
우리 집은 한부모가정이라 학교에서 부모님 얘기만 나오면 사는 게 비관적으로 느껴져.	상처
내 친구가 내 말을 듣고도 모른 척해. 나한테 화가 난 거 같아.	당황
친구를 볼 때마다 너무 화가 나.	분노
내가 어떤 직업을 가져야 할지 모르겠서 초조해.	불안
감사합니다 - 이제 메모 메일 메시지를 매우 신속하게 읽은 것을 알고 있습니다!	중립
나를 위해 이것을 테스트 할 수 있습니까?	중립
일일 데이터가 4 월 98 일로 돌아갈 수 있습니까?	중립
이 뉴스 레터를 더 이상 받고 싶지 않다면 다음을 구독 해제 할 수 있습니다.	중립
소개팅에 나가면 서로 직장이랑 연봉을 따져보는데 그 상황이 너무 싫어.	슬픔
당신이 마을에있을 것이고 Mark를보고 싶다면, 저에게 알려 주시면 기꺼이 준비 할 것입니다.	중립
나이가 드니 몸도 아프고 저축을 별로 못해서 돈 쓰는것도 조심스러워.	불안
회의에서 앵무새의 노트를 전달할 것입니다.	중립
반 친구들이 내가 명품이 없다고 무시해.	당황
친구가 하기로 한 숙제를 다 못하고 돌려줘서 짜증이 나.	슬픔
주변 사람들이 새로운 사람을 소개해주는데 만나는 것이 너무 부담스러워.	불안
이 사람과는 결혼해도 괜찮을 것 같아.	기쁨
내 선배 김 과장님이 회사에서 잘렸어.	슬픔
나는 당신과 함께하게되어 기쁩니다.	중립
EOL 거래에 관한 질문이 발생하면 청중 (거래자, 나 자신 등)이 EOL 거래에 대해 논의하고 있음을 알고 있는지 확인하십시오.	중립
이제 아래를 클릭하고 pchsearch & win을 검색하여 매주 평생 5 달러, ooo.oo를 이기고 싶다는 것을 보여주세요.	중립
신문을 보니 다른 집은 많이 다투나본데 우리 집은 사이좋고 화목해서 참 좋아.	기쁨
정말 무섭고 두려운 일이 일어났어.	불안
이번에 새로 학교에 들어가는데 친구들을 잘 사귈 수 있을까?	불안
내가 여자처럼 스노우 보드를한다면 Hellman에게 말한 다음 그는 할머니처럼 하늘을냅니다 !!	중립
수십 년을 노가다만 하다가 이제는 그 일도 나이 때문에 못 하니 평생 한은 못 배운 것이야.	상처
오늘 내 생일 이였는데 부모님이 내가 싫어하는 음식을 사 오셔서 당황했어.	불안
당신이 월요일에 우리의 대화에 따라, 당신이 친절하게 저를 데려 간다.	중립
집 값이 너무 올라서 내 집 마련은 꿈같은 이야기가 됐어.	슬픔
수진이한테 틱이 있다고 반 친구들한테 크게 얘기해서 상처받았나 봐. 수진이랑 멀어질까 봐 두려워.	당황
"MOPS에서 ""Always Send""를 선택하여 팝에 올 수 있습니다."	중립
가능한 한 빨리 두 사람과 논의하고 싶습니다.	중립
방법을 알아 보려면 natasha.stevenson@davidco.com으로 이메일을 보내주십시오.	중립
토론하려면 저에게 전화주세요.	중립
선생님이 학교 폭력 가해자 학생들을 불러 처벌하시고 혼내주셔서 너무 통쾌하고 짜릿해.	기쁨
성공 사례를 알려주세요.	중립
당신에게 가장 적합한 시간을 알려 주시고 시간에 대단히 감사합니다.	중립
나는 그녀가 첫 번째 컷을하게한다.	중립
몇 주가 길어지고 더 길어지는 것 같습니다.	중립
우리는이 컨퍼런스를 최소 25,000 명과 온라인 및 언론 캠페인을 포함하여 40,000 명 이상의 대상 개인에게 마케팅 할 것입니다.	중립
브라우저에 다음 링크를 복사하고 붙여서 이메일 주소를 확인하십시오 : $ 링크	중립
요즘 게임이나 인스타가 아니면 모든 일이 흥미가 없어. 사는 게 사는 거 같지가 않아.	불안
노년에 접어들면서 마누라가 몸이 무겁고 다리 아파서 운동하기가 싫다네.	슬픔
나는 Sean이 큰 음식을 먹지 않는다고 생각하고, 그는 일하지 않고 Molly가 그녀의 비즈에서 왕의 몸값을 내려 놓고 Tom과 Karen은 결국 채식주의 자라고 생각합니다.	중립
우리는 당신이 사랑하는 일을 한 것에 대해 당신에게 보상하고 싶습니다.	중립
우리가 전략을 계획하도록 이것에 대한 의견을주세요.	중립
얼마 전에 내 생일이었는데 아들 녀석이 문자 한 통도 없고 너무 서운해.	슬픔
내일도 그 애가 날 때리진 않을까 무서워서 학교를 가기가 싫어.	불안
우리는 값이 시작되었는지 여부에 관계없이 모든 거래에 대해 향후 두 일정을 업데이트 할 것입니다.	중립
요즘 젊은이들은 위아래가 없는지 노약자석을 비워두지도 않는구먼.	당황
2000 년부터 우리가 어떻게 더 잘해질 수 있는지에 대한 토론을 계속하기를 기대합니다. 나는 당신이 알고있는 것처럼 올바른 방식 으로이 작업을 수행하기 위해 노력하고 있습니다.	중립
이젠 은퇴가 얼마 남지 않았어.	기쁨
계획에는 기존 및 계획된 태평양 시스템에 대한 최종 연결이 포함됩니다.	중립
참석할 수 있는지 알려주십시오.	중립
일찍 구매하는 마지막 날, 7 월 판매의 크리스마스와 함께 큰 절약	중립
직장 내 유일하게 친했던 친구가 나와 말을 하지 않아.	불안
우울증이 있는 걸 친구들이 알게 될까 봐 자꾸 눈치 보게 돼. 난 바보야.	분노
유머는 지금 바로 필요하다는 데 동의하지만, 공급이 부족하지만 말하자 ....	중립
남편이 계획도 없이 사업한다고 퇴사를 한다는데 상의도 없이 이러니 정말 화가 나.	분노
직장을 찾고 있거나 옆에 파트 타임으로 돈을 벌고 싶다면 이용할 수있는 일자리를 확인하십시오.	중립
오늘 내가 복도를 걸어가는데 친구들이 발을 걸어 나를 넘어뜨렸어.	분노
나이가 들어서 골다공증 때문에 움직이는 게 불편해. 이러다가 평생 누워있어야 할 것 같아.	상처
부모님께서 최근에 이혼을 하셨는데 두 분 다 날 키우기 싫다고 하셔서 마음이 너무 아파.	상처
11 월 3 일, YouTube는 Lady Gaga, Eminem, Arcade Fire 등의 라이브 공연으로 글로벌 축하 행사에서 당신이 좋아하는 아티스트들을 존중할 것입니다.	중립
여러 교실에 여러 자녀가있는 경우 각 수업마다 반지를 만들어야합니다.	중립
나는 현미를 싫어하고 백미를 좋아해.	분노
Schroeder Re : LittleChild와의 이전 이메일 교환 에서이 회의에 대한 나의 생각을 본 것 같습니다.	중립
어제 건강검진을 받았는데 상태가 많이 안 좋네.	상처
어제 동무들이 내 짝을 괴롭혔는데 난 보고만 있었어.	당황
이 계약을 할당 할 수있는시기를 알려주십시오.	중립
요즘 사람을 만나면 믿을 수가 없고 의심부터 하게 돼.	상처
친구들이 내 마음을 잘 몰라줘. 너무 속상해.	슬픔
엄마에게 칭찬받고 싶어.	분노
얼마 전에 유방암 말기 판정을 받아서 앞으로 고생할 가족들에게 너무 미안해.	당황
가족들이 나한테 와서 스트레스를 풀어.	불안
그것은 우리가 마감일에 대해 진지하다는 시장에 꽤 강한 신호를 보낼 것입니다.	중립
간호사가 챙겨줄 사람이 없는 나를 챙겨줘서 너무 감사해.	기쁨
매일 같이 똑같은 일상이 너무나 지겨워. 출근하고 퇴근하고 잠자고 또 출근하고 지긋지긋해.	슬픔
아내랑 다퉜는데 내가 너무 부정적으로 대처한 것 같아서 마음이 안 좋아.	슬픔
내 고용 계약에 포함 된 의무에서 나와 Enron을 모두 공개하기 위해 계약을 체결 한 위치에 알려 주시면 감사하겠습니다.	중립
무료 계정 $ 링크를 즉시 활성화하고 수표를 어디로 보내야하는지 알려주십시오!	중립
안정된 직장에 개인 시간도 많은 공무원 친구들이 부러워!	상처
난 돈도 없고 한심한 엄마야.	분노
NAV의 주소에 대한 고맙습니다.	중립
회사에서 일이 많아 너무 힘들어. 오늘 해야 할 일을 하지 못해 짜증 나.	분노
우라 아빠가 엄마 아닌 다른 여자룰 만나고 있는 것을 보게 되었어.	상처
팀장님이 나 단벌신사라고 하기에 겁나 부끄러운 거 있지.	상처
내 꽃은 전달되지 않았습니다.	중립
오늘 지하철에서 황당한 일을 겪었어.	당황
나는 6 월 4 일 월요일에 새크라멘토에있을 것이며 유용하다고 판단하고 일정이 허락하는 경우 제안서에 대해 더 자세히 논의하고 싶습니다.	중립
오늘도 공증하고 변호사에게 우편으로 보내려고 노력할 것입니다.	중립
병원에서 감기라고 해서 치료를 했는데 몇 주가 지나도 낫지 않아서 다시 검사를 받아보니 폐결핵이래.	불안
같은 반 친구를 내가 이유 없이 괴롭히고 때려서 부모님께 얘기해야 하는데 두려워.	당황
난 왜 키도 작고 눈도 작은 거야? 부모님을 잘못 만났어!	분노
부모님께서 내 꿈을 비웃어서 짜증 나.	분노
더 이상 시간을 낭비하지 마십시오. 지금 당장 사본을 무료로 다운로드 할 수 있지만 곧 끝나기 때문입니다.	중립
어디로 가고 싶니?	중립
MeetMe 에서이 이메일을받지 않으려면 아래 URL을 방문하여 설정을 변경할 수 있습니다.	중립
결혼을 꼭 해야 하는 걸까? 요즘 마음 같아선 혼자 사는 게 나은 것 같아.	슬픔
아들과 치과에 갔는데 치료비가 너무 많이 나왔어.	당황
이 이메일의 사본을 기록하십시오.	중립
& quot; 찰스와 콘로이에게 그들의 도움과 인내심에 대해 감사하고 싶습니다.	중립
몸을 다치고 소득이 감소했어. 절망적이야.	상처
지금껏 열심히 일을 해서 노후에 여유롭게 사는 것을 기대했는데 암 진단을 받았어.	슬픔
내가 살면서 중요하게 생각하는 게 친구가 많아야 한다고 생각이 들어.	기쁨
나는 조부모님과 사는데 졸업식날 부모님이 안오시니까 보는눈이 신경쓰여.	당황
이 프로세스를 완료 한 후 다음 단계를 포함하여 다른 모든 문제는 Hardee의 직접 문의하십시오.	중립
화요일 오후에 전화하여 토론을하셨습니다 (주말에 킬로 나 골프에 갔다).	중립
우리는 매주 월요일 밤마다 만나서 가족, 친구, 교회, 정부 및 심지어 적들도 필요에 대한기도와 함께받은 특별한기도 요청을 통해기도하려고 노력합니다.	중립
내가 다리가 불편해서 휠체어를 탄다는 이유만으로 회사 면접에서 번번이 떨어져.	분노
우리 아이들은 5 월 25 일 금요일에 학교에서 나올 것입니다.	중립
노년기가 되니 질병은 생기고 친구는 없어졌어.	상처
해당 제품 번호는 33462, 33464, 33491 및 33492입니다.	중립
나보다 성적이 낮은 친구가 수능이 끝나자마자 취업해서 슬프고 억울해.	슬픔
아들이 이젠 착하게 살겠다고 해서 정신차린 것 같더니 결국 또 사고를 쳤어.	상처
복잡하거나 논쟁의 여지가 있거나 민감한 문제에 대해 논의 할 수 있어야합니다.	중립
친정엄마가 치매 환자가 되었어. 걱정이야.	당황
그러나 얼마나 자주 당신이 실제로 어떻게 생각하는지 말할 기회가 있습니까?	중립
그것은 당신이 나에게 첨부 파일을 보내지 않았다는 것을 의미합니다.	중립
나는 그가 내일 그것을 보내겠다고 가정합니다.	중립
프레젠테이션을 검토 한 후 내일 토론 할 수있는 몇 가지 어려운 질문이 있습니다.	중립
나는 당신의 여행이 연기되어 기쁘다. 그러면 우리는 함께 모일 수있을 것이다.	중립
미래에 하고 싶은 일에 대해 아무것도 준비를 안 한 내가 너무 실망스러워.	분노
이것이 완료되면 더 큰 배포 목록으로 보내고 싶습니다.	중립
가능한 빨리 예약하고 싶습니다.	중립
아래 링크 중 하나를 클릭하여 간단한 질문에 답하십시오.	중립
어떡하지? 이번 테스트 망쳤네.	불안
취업도 안 되고 있는데 이번 달 생활비도 벌써 다 떨어졌어.	상처
졸업이 다가올수록 내가 선택한 전공에 확신이 들어.	기쁨
가장 큰 판매 중 최신 스타일을 쇼핑하고 11 월 11 일 월요일까지 동일하거나 적은 가치의 두 번째 품목에서 1/2를 절약하십시오.*	중립
더 빨리 돌아 오지 않아서 죄송합니다.	중립
엉뚱한 이웃 캐릭터로 TV 쇼의 이름을 지정할 수 있습니까?	중립
내가 나이 들어서 힘들다고 계속 쉬어서 우리 집이 아주 개판이 됐어. 일만 꾸준히 했어도.	당황
이렇게 살아서 무엇 하나.	상처
이번 수능 모의고사 성적이 좋아서 원하는 대학은 무난히 갈 것 같아.	기쁨
당신이 무엇을 해야할지 알고있는 것보다 더 많이 만들고 싶다면 ...	중립
살아가는 게 힘들고 두려워.	분노
실제로, 당신은 우리에게 우선 순위를 설정할 수 있습니다.	중립
오랫동안 함께 했던 남편이 죽었어. 해주지 못한 게 너무 많은 것 같아.	당황
성적이 올라서 칭찬을 받았어.	기쁨
말년을 즐기는 사람들이 부러워. 난 지금도 일을 해야 하는데.	당황
내 보험 판매 실적이 결국 상사한테 가버렸어. 항상 이런 식이야.	분노
까다로웠던 계약을 성사시켜서 정말 다행이야.	기쁨
나이가 드니 요즘 걱정거리가 생겼어.	불안
나는 그를 본 후 그가 얼마나 자랐는지 극복 할 수 없습니다.	중립
아내와 귀농을 위해 땅을 알아보던 중 공기가 좋은 땅을 찾아 다행이고 기뻐.	기쁨
당뇨병 때문에 죽겠어. 매일 혈당 관리하느라 항상 신경 써야 해.	불안
오늘 학교에서 선생님이 학교폭력에 대해 말씀하시는데 너무 상투적이었어.	불안
당신이 길을 따라 질문이 있으시면 866-333-0989 Extension 4864로 저에게 직접 연락 할 수 있습니다.인증 된 컨설턴트.	중립
지난달 남편이 지병으로 돌아가셨는데 아직도 믿겨 지지 않고 실감이 안 나.	슬픔
요즘 야근이 많아서 너무 피곤한데 돈 때문에 계속 다녀야 하는 게 힘들어.	상처
받은 편지함으로 전달하려면 주소록 및 안전한 목록에 altifications@socialreader-email.com을 추가하십시오.	중립
휴일을 축하하기 위해 당신과 함께하게되어 매우 기쁩니다.	중립
오늘 직장에 처음 갔는데 너무 당황스러웠어.	불안
내가 자식들에게 물려줄 유산이 하나도 없다는 사실에 너무 슬퍼.	슬픔
아래 보석 브로커와 연락하여 그를 만나고 Topaz, Emeralds 및 Opals를 볼 수있는 시간을 설정하십시오.	중립
또한 10/8 주에 이틀 동안 Hoang을 아프게 할 수 있는지 알고 싶었습니다.	중립
앉아서 조금 논의 할 시간이 있습니까?	중립
